Saison;Journee;Domicile;Exterieur;Score domicile;Score Exterieur;Derby;ELO domicile avant match;ELO extérieur avant match;ELO domicile après match;ELO extérieur après match
24-25;9;Charleville-Mézières;Landerneau;85;75;0;1570.2913960306453;1405.1635681517062;1580.05;1398.19
24-25;9;Chartres;Lattes Montpellier;67;68;0;1327.658070837459;1595.0849603520312;1321.48;1599.5
24-25;9;Roche Vendée;Tarbes;43;71;0;1401.520401683825;1478.2063204540102;1387.82;1487.99
24-25;10;Angers;Charleville-Mézières;74;84;0;1518.899353968492;1580.048478548143;1504.45;1590.37
24-25;10;Tarbes;Basket Landes;74;63;1;1487.9912701270391;1629.0591047503228;1515.69;1601.36
24-25;10;Landerneau;Bourges;74;80;0;1398.1942234963506;1678.9029433873006;1392.39;1683.05
24-25;10;Charnay;Lyon;80;57;1;1567.1771474534733;1544.4746328409187;1585.87;1525.78
24-25;10;Villeneuve d'Ascq;Chartres;75;56;0;1562.8582296734942;1321.47645042095;1569.84;1316.49
24-25;10;Lattes Montpellier;Roche Vendée;80;51;0;1599.5004035066804;1387.8214721415843;1607.49;1382.12
24-25;11;Bourges;Angers;71;69;0;1683.0472576012216;1504.447963643696;1692.27;1497.86
24-25;11;Basket Landes;Roche Vendée;70;67;0;1601.3572430022932;1382.1165552191192;1609.08;1376.6
24-25;11;Charleville-Mézières;Lyon;74;79;0;1590.3709002087116;1525.7796378273783;1569.65;1540.58
24-25;11;Charnay;Landerneau;73;39;0;1585.8721424670136;1392.3921835968613;1594.52;1386.21
24-25;11;Chartres;Tarbes;79;81;0;1316.4892814721245;1515.6931318750687;1308.05;1521.72
24-25;11;Lattes Montpellier;Villeneuve d'Ascq;65;44;0;1607.4872871981318;1569.8402662018498;1623.1;1558.69
24-25;12;Tarbes;Angers;51;63;0;1521.7203971733693;1497.8616489012072;1503.02;1511.22
24-25;12;Basket Landes;Charleville-Mézières;63;64;0;1609.078979824946;1569.654470080544;1589.6;1583.57
24-25;12;Chartres;Bourges;77;81;0;1308.0511100545036;1692.268098240706;1304.6;1694.74
24-25;12;Lattes Montpellier;Charnay;83;86;0;1623.0984292651049;1594.5231113993323;1604.16;1608.05
24-25;12;Villeneuve d'Ascq;Landerneau;81;65;0;1558.6894504397262;1386.2129200737766;1568.15;1379.45
24-25;12;Roche Vendée;Lyon;78;76;0;1376.6010289172245;1540.5770879189267;1401.8;1522.58
24-25;13;Angers;Roche Vendée;82;70;1;1511.218689611016;1401.7972214981137;1525.12;1387.9
24-25;13;Bourges;Basket Landes;93;53;0;1694.7356481588688;1589.6016841019846;1707.1;1580.77
24-25;13;Charleville-Mézières;Tarbes;79;67;0;1583.5668241683734;1503.0205401796368;1597.08;1493.37
24-25;13;Charnay;Chartres;69;74;0;1608.0488792199935;1304.5965401690755;1578.24;1325.89
24-25;13;Landerneau;Lattes Montpellier;77;63;0;1379.4542054228389;1604.1623543161793;1406.92;1584.54
24-25;13;Lyon;Villeneuve d'Ascq;75;70;0;1522.5798075040059;1568.1516509510388;1542.36;1554.02
24-25;14;Villeneuve d'Ascq;Angers;73;79;0;1554.0214105914126;1525.1201940563574;1535.07;1538.66
24-25;14;Basket Landes;Charnay;78;69;0;1580.7728096815827;1578.2446200890295;1598.15;1565.84
24-25;14;Tarbes;Bourges;59;60;0;1493.367601894792;1707.0960723474313;1485.45;1712.75
24-25;14;Roche Vendée;Charleville-Mézières;71;76;0;1387.8957170527724;1597.0809377671562;1379.82;1602.85
24-25;14;Chartres;Landerneau;66;72;0;1325.8852966911927;1406.9202132149012;1312.39;1416.56
24-25;14;Lattes Montpellier;Lyon;85;70;1;1584.5437773218491;1542.3621440074826;1602.13;1524.78
24-25;15;Angers;Lattes Montpellier;66;76;0;1538.657607166313;1602.127467823366;1524.32;1612.37
24-25;15;Landerneau;Basket Landes;67;76;0;1416.556488873316;1598.1454694239155;1407.45;1604.65
24-25;15;Bourges;Roche Vendée;94;73;0;1712.7492080355082;1379.820000001857;1717.24;1376.61
24-25;15;Charleville-Mézières;Villeneuve d'Ascq;72;84;1;1602.849307089239;1535.0690322374746;1579.0;1558.92
24-25;15;Charnay;Tarbes;67;65;0;1565.8355774159345;1485.4532119314845;1579.36;1475.79
24-25;15;Lyon;Chartres;82;61;0;1524.7784535059657;1312.3945107694117;1532.74;1306.71
24-25;16;Chartres;Angers;72;71;1;1306.707443443132;1524.319429233038;1337.82;1493.21
24-25;16;Basket Landes;Lyon;79;74;0;1604.6486366166582;1532.7403477627574;1618.58;1522.79
24-25;16;Villeneuve d'Ascq;Bourges;63;78;0;1558.922021688998;1717.2380622137655;1548.89;1724.41
24-25;16;Lattes Montpellier;Charleville-Mézières;86;57;0;1612.3690234899912;1578.9963176377155;1628.19;1567.69
24-25;16;Roche Vendée;Charnay;83;77;0;1376.613675588816;1579.3575199574263;1403.31;1560.29
24-25;16;Tarbes;Landerneau;61;70;0;1475.7946815447044;1407.4520548034761;1454.9;1422.38
24-25;17;Angers;Basket Landes;85;80;0;1493.2089243342973;1618.5775301599251;1516.76;1601.75
24-25;17;Bourges;Lattes Montpellier;66;64;0;1724.4062029859651;1628.193222761933;1737.18;1619.07
24-25;17;Charleville-Mézières;Chartres;83;72;0;1567.6933181577572;1337.8179483418726;1575.05;1332.56
24-25;17;Charnay;Villeneuve d'Ascq;66;59;0;1560.292066374607;1548.8866246079185;1577.22;1536.8
24-25;17;Landerneau;Roche Vendée;67;68;0;1422.3796484609843;1403.305310604763;1403.92;1416.49
24-25;17;Lyon;Tarbes;72;56;0;1522.7911380889952;1454.8960504241932;1536.91;1444.81
24-25;18;Charnay;Angers;90;70;0;1577.217791393754;1516.7631120809706;1591.7;1506.42
24-25;18;Chartres;Basket Landes;64;71;0;1332.561075059408;1601.7531103408728;1326.43;1606.13
24-25;18;Bourges;Charleville-Mézières;93;68;0;1737.1802393642747;1575.0529407532074;1747.06;1568.0
24-25;18;Landerneau;Lyon;65;79;0;1403.919856297839;1536.914204291064;1392.81;1544.85
24-25;18;Lattes Montpellier;Tarbes;67;58;0;1619.0689110631404;1444.808145994144;1628.46;1438.1
24-25;18;Villeneuve d'Ascq;Roche Vendée;76;60;0;1536.7968210228137;1416.490876435581;1548.47;1408.15
24-25;19;Angers;Landerneau;86;70;0;1506.4164555678233;1392.8095730583652;1518.39;1384.26
24-25;19;Basket Landes;Lattes Montpellier;76;45;0;1606.1317335063159;1628.4603677927298;1624.75;1615.16
24-25;19;Lyon;Bourges;69;78;0;1544.850120890688;1747.059332288665;1536.52;1753.01
24-25;19;Charleville-Mézières;Charnay;68;65;0;1567.9964458072143;1591.7031105121603;1586.69;1578.35
24-25;19;Roche Vendée;Chartres;76;60;0;1408.1541511236273;1326.4310026277878;1421.61;1316.82
