Saison;Journee;Domicile;Exterieur;Score domicile;Score Exterieur;Derby;ELO domicile avant match;ELO extérieur avant match;ELO domicile après match;ELO extérieur après match
24-25;15;Lyon;Chartres;82;61;0;;;;
24-25;16;Chartres;Angers;72;71;1;;;;
24-25;16;Basket Landes;Lyon;79;74;0;;;;
24-25;16;Villeneuve d'Ascq;Bourges;63;78;0;;;;
24-25;16;Lattes Montpellier;Charleville-Mézières;86;57;0;;;;
24-25;16;Roche Vendée;Charnay;83;77;0;;;;
24-25;16;Tarbes;Landerneau;61;70;0;;;;
24-25;17;Angers;Basket Landes;85;80;0;;;;
24-25;17;Bourges;Lattes Montpellier;66;64;0;;;;
24-25;17;Charleville-Mézières;Chartres;83;72;0;;;;
24-25;17;Charnay;Villeneuve d'Ascq;66;59;0;;;;
24-25;17;Landerneau;Roche Vendée;67;68;0;;;;
24-25;17;Lyon;Tarbes;72;56;0;;;;
24-25;18;Charnay;Angers;90;70;0;;;;
24-25;18;Chartres;Basket Landes;64;71;0;;;;
24-25;18;Bourges;Charleville-Mézières;93;68;0;;;;
24-25;18;Landerneau;Lyon;65;79;0;;;;
24-25;18;Lattes Montpellier;Tarbes;67;58;0;;;;
24-25;18;Villeneuve d'Ascq;Roche Vendée;76;60;0;;;;
24-25;19;Angers;Landerneau;86;70;0;;;;
24-25;19;Basket Landes;Lattes Montpellier;76;45;0;;;;
24-25;19;Lyon;Bourges;69;78;0;;;;
24-25;19;Charleville-Mézières;Charnay;68;65;0;;;;
24-25;19;Roche Vendée;Chartres;76;60;0;;;;
24-25;19;Tarbes;Villeneuve d'Ascq;57;51;0;;;;
24-25;20;Angers;Lyon;59;53;0;;;;
24-25;20;Villeneuve d'Ascq;Basket Landes;51;55;0;;;;
24-25;20;Charnay;Bourges;100;89;0;;;;
24-25;20;Landerneau;Charleville-Mézières;75;68;0;;;;
24-25;20;Lattes Montpellier;Chartres;74;73;0;;;;
24-25;20;Tarbes;Roche Vendée;92;80;0;;;;
24-25;21;Charleville-Mézières;Angers;65;59;0;;;;
24-25;21;Basket Landes;Tarbes;90;64;1;;;;
24-25;21;Bourges;Landerneau;71;34;0;;;;
24-25;21;Lyon;Charnay;66;71;1;;;;
24-25;21;Chartres;Villeneuve d'Ascq;54;87;0;;;;
24-25;21;Roche Vendée;Lattes Montpellier;59;80;0;;;;
24-25;22;Angers;Bourges;64;69;0;;;;
24-25;22;Roche Vendée;Basket Landes;65;71;0;;;;
24-25;22;Lyon;Charleville-Mézières;86;78;0;;;;
24-25;22;Landerneau;Charnay;57;84;0;;;;
24-25;22;Tarbes;Chartres;84;66;0;;;;
24-25;22;Villeneuve d'Ascq;Lattes Montpellier;59;73;0;;;;
25-26;1;Roche Vendée;Angers;64;72;1;;;;
25-26;1;Basket Landes;Landerneau;59;43;0;;;;
25-26;1;Chartres;Bourges;58;62;0;;;;
25-26;1;Charleville-Mézières;Lattes Montpellier;70;71;0;;;;
25-26;1;Lyon;Charnay;64;69;1;;;;
25-26;1;Villeneuve d'Ascq;Toulouse;84;85;0;;;;
25-26;2;Angers;Lyon;62;60;0;;;;
25-26;2;Bourges;Basket Landes;53;58;0;;;;
25-26;2;Landerneau;Charleville-Mézières;85;81;0;;;;
25-26;2;Charnay;Chartres;89;74;0;;;;
25-26;2;Lattes Montpellier;Villeneuve d'Ascq;75;70;0;;;;
25-26;2;Toulouse;Roche Vendée;66;65;0;;;;
25-26;3;Chartres;Angers;89;78;1;;;;
25-26;3;Basket Landes;Charnay;68;46;0;;;;
25-26;3;Charleville-Mézières;Bourges;77;62;0;;;;
25-26;3;Villeneuve d'Ascq;Landerneau;75;67;0;;;;
25-26;3;Roche Vendée;Lattes Montpellier;74;73;0;;;;
25-26;3;Lyon;Toulouse;76;72;0;;;;
25-26;4;Angers;Basket Landes;75;73;0;;;;
25-26;4;Villeneuve d'Ascq;Bourges;69;50;0;;;;
25-26;4;Charnay;Charleville-Mézières;78;77;0;;;;
25-26;4;Toulouse;Chartres;83;88;0;;;;
25-26;4;Landerneau;Roche Vendée;70;69;0;;;;
25-26;4;Lattes Montpellier;Lyon;73;64;1;;;;
25-26;5;Charleville-Mézières;Angers;78;47;0;;;;
25-26;5;Basket Landes;Toulouse;77;57;1;;;;
25-26;5;Bourges;Roche Vendée;77;59;0;;;;
25-26;5;Villeneuve d'Ascq;Charnay;85;70;0;;;;
25-26;5;Chartres;Lattes Montpellier;76;73;0;;;;
25-26;5;Lyon;Landerneau;86;79;0;;;;
25-26;6;Angers;Villeneuve d'Ascq;69;79;0;;;;
25-26;6;Lattes Montpellier;Basket Landes;75;76;0;;;;
25-26;6;Bourges;Lyon;71;63;0;;;;
25-26;6;Toulouse;Charleville-Mézières;49;73;0;;;;
25-26;6;Charnay;Roche Vendée;79;71;0;;;;
25-26;6;Landerneau;Chartres;67;60;0;;;;
25-26;7;Angers;Toulouse;78;60;0;;;;
25-26;7;Chartres;Basket Landes;58;77;0;;;;
25-26;7;Bourges;Landerneau;82;68;0;;;;
25-26;7;Lyon;Charleville-Mézières;70;84;0;;;;
25-26;7;Charnay;Lattes Montpellier;50;68;0;;;;
25-26;7;Roche Vendée;Villeneuve d'Ascq;70;73;0;;;;
25-26;8;Landerneau;Angers;75;67;0;;;;
25-26;8;Basket Landes;Roche Vendée;72;47;0;;;;
25-26;8;Lattes Montpellier;Bourges;72;59;0;;;;
25-26;8;Charleville-Mézières;Chartres;83;67;0;;;;
