eq,eq_opp,n,vic,net,niv_eq,niv_opp,attendu,sous_perf
bourges,roche vendee,4,1.0,23.0,0.8333333333333334,0.22857142857142856,0.7847533624896941,0.21524663751030593
basket landes,villeneuve ascq,4,0.75,3.5,0.6944444444444444,0.6111111111111112,0.5319148932095971,0.21808510679040294
lyon,angers,4,0.75,8.25,0.5,0.4444444444444444,0.5294117641453288,0.22058823585467124
charleville,angers,4,0.75,-3.25,0.4722222222222222,0.4444444444444444,0.5151515145895317,0.23484848541046832
lyon,charleville,4,0.75,7.75,0.5,0.4722222222222222,0.5142857137567347,0.2357142862432653
basket landes,roche vendee,4,1.0,14.0,0.6944444444444444,0.22857142857142856,0.7523645735614968,0.24763542643850323
villeneuve ascq,roche vendee,4,1.0,19.25,0.6111111111111112,0.22857142857142856,0.7277882789064147,0.27221172109358527
lyon,villeneuve ascq,4,0.75,-4.0,0.5,0.6111111111111112,0.4499999995949999,0.3000000004050001
charleville,roche vendee,4,1.0,6.5,0.4722222222222222,0.22857142857142856,0.6738391836364244,0.32616081636357563
basket landes,landerneau,4,1.0,20.25,0.6944444444444444,0.34285714285714286,0.6694720728052527,0.33052792719474733
angers,roche vendee,4,1.0,14.25,0.4444444444444444,0.22857142857142856,0.660377357509345,0.339622642490655
bourges,angers,4,1.0,10.0,0.8333333333333334,0.4444444444444444,0.6521739125330813,0.3478260874669187
bourges,lyon,4,1.0,10.75,0.8333333333333334,0.5,0.62499999953125,0.37500000046875004
bourges,montpellier,4,1.0,13.75,0.8333333333333334,0.5833333333333334,0.5882352937024221,0.4117647062975779
roche vendee,landerneau,3,1.0,8.666666666666666,0.22857142857142856,0.34285714285714286,0.3999999993,0.6000000006999999
