,n,minutes,points,passes,rebonds,eval
Etrangere,87,25.226158453401553,9.324069684640037,1.9968842340239268,4.346320452625833,10.120788017274352
Francaise,151,17.188666499311342,4.916214233964924,1.3571247833126174,2.2139384689989776,5.309914482355102
