facteur,coef_std,odds_ratio,effet_proba_%
Efficacite tir (eFG%),4.156774092535135,63.86516681817766,103.91935231337837
Taux de pertes,-2.876993783450895,0.05630376999592791,-71.92484458627237
Rebonds defensifs,1.3175316409747686,3.734192663893744,32.938291024369214
Rebonds offensifs,1.248804678005567,3.4861733662551693,31.220116950139175
% a 3 points,0.4076148600162822,1.5032280964221958,10.190371500407055
Pression def. (INT+CT),0.1779474358401585,1.1947625178962495,4.448685896003963
Passes decisives,-0.08947917195176834,0.9144073102455287,-2.2369792987942083
