facteur,effet_proba_%,auc_seul
Ecart EVAL titulaires-banc,24.69343306727877,0.7381167878655475
Part points titulaires,-2.7853885609156306,0.5303049218189195
Part minutes titulaires,0.19040945282355937,0.501342030523392
