facteur,effet_proba_%,auc_seul,importance
% tirs reussis,63.455840063255295,0.9122374457726039,2.538233602530212
Efficacite tir (eFG%),62.82461177360892,0.9164039823975532,2.5129844709443567
Passes decisives,41.78940452690424,0.8455260447551575,1.6715761810761698
% a 3 points,33.4523329795512,0.7888174526388065,1.338093319182048
Rebonds defensifs,31.66556202715877,0.7811709996566898,1.266622481086351
Taux de pertes,-18.24841866018729,0.6802378202927498,0.7299367464074916
Pression def. (INT+CT),17.012678662245214,0.6803782653475235,0.6805071464898086
Interceptions,15.52919323362375,0.6733560126088449,0.62116772934495
Contres,4.510078754542499,0.5477825286351862,0.18040315018169994
Rebonds offensifs,3.98835301942416,0.5559283418120533,0.1595341207769664
Part de tirs 3pts (style),-1.9375933223549537,0.5024968009737524,0.07750373289419815
