source,effet_proba_%,auc_seul
Part points 3pts (loin),8.470847763505706,0.6102337629911675
Part points raquette (pres),2.0000236817176433,0.5299709393928784
Part points contre-attaque,-1.470560252694438,0.5177514792899408
Part points 2e chance,0.0,0.5
