facteur,importance_rf
Efficacite tir (eFG%),0.324668043186174
% tirs reussis,0.2096231637279056
Passes decisives,0.1284413086735066
Taux de pertes,0.08770552003532144
Rebonds defensifs,0.07750708882307175
% a 3 points,0.06421713258956765
Pression def. (INT+CT),0.03249964562129777
Rebonds offensifs,0.030322747659555595
Interceptions,0.02767225634535572
Part de tirs 3pts (style),0.009907829369564379
Contres,0.007435263968679385
