tranche,EVAL_moyen,n
<=19,6.845670465155759,12
20-21,6.7041885334676135,14
22-23,8.977380952380953,22
24-25,9.899179401674393,27
26-27,10.2616039714254,28
28-29,10.944143320731557,25
30-31,8.487140112678391,11
32+,9.592648008320001,28
