Joueur,eq,Saison,age_num,matchs,min_match,eval_min,Pts
D. Malonga,lyon,24-25,19.0,22,33.08772727272728,0.6154437926715268,339.0
J. Salaun,villeneuve ascq,23-24,22.0,22,27.66681818181818,0.5783100859240996,320.0
P. Astier,bourges,23-24,21.0,19,22.724736842105262,0.5118465849861921,181.0
C. Leite,villeneuve ascq,24-25,20.0,21,27.98190476190476,0.5054286783967438,344.0
G. Rabot,montpellier,23-24,21.0,17,23.28705882352941,0.49004748913688484,103.0
M. Akoa Makani,charnay,23-24,22.0,22,30.11818181818182,0.47690914578859506,276.0
