Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adversaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
25-26;13;Championat de France;Exterieur;;Roche Vendée;;Banc;M. De Freitas;17;33;0,55;17,55;;;;;;;0;1;0;;;;;;;;;;;6;1;1;2;1;0;0;0;0;1;2;-14;7;45;M. De Freitas
25-26;13;Championat de France;Exterieur;;Roche Vendée;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;4;5;0;0;0;0;0;0;0;0;0;0;Team / Coach
25-26;13;Championat de France;Exterieur;;Roche Vendée;;Banc;TOTAUX EQUIPE;;;;;26;67;0,39;19;45;0,42;;;;15;19;0,79;20;24;9;12;17;6;7;74;7;30;37;20;14;8;0;4;25;19;0;80;0;TOTAUX EQUIPE
25-26;14;Championat de France;Domicile;;Lyon Asvel Féminin;;Starter;H. Limouzin;32;35;0,58;32,58;;;;;;;0;0;;;;;;;;;;;;12;1;6;7;5;8;4;0;0;2;5;-5;6;5;H. Limouzin
25-26;14;Championat de France;Domicile;;Lyon Asvel Féminin;Capitaine;Starter;I. Slonjsak(C);11;26;0,43;11,43;;;;;;;0;1;0;0;0;;;;;;;;;2;0;1;1;1;0;0;1;0;1;0;-7;3;6;I. Slonjsak(C)
25-26;14;Championat de France;Domicile;;Lyon Asvel Féminin;;Starter;J. Lindstrom;31;55;0,92;31,92;;;;;;;;;;;;;;;;;;;;17;1;3;4;3;1;1;0;0;4;3;-3;22;21;J. Lindstrom
25-26;14;Championat de France;Domicile;;Lyon Asvel Féminin;;Starter;T. San Antonio;31;45;0,75;31,75;;;;;;;;;;;;;;;;;;;;10;1;4;5;8;5;2;0;0;3;4;-9;15;23;T. San Antonio
25-26;14;Championat de France;Domicile;;Lyon Asvel Féminin;;Starter;T. Reimer;23;14;0,23;23,23;;;;;;;0;0;;;;;;;;;;;;8;0;3;3;1;0;1;0;0;5;4;-5;10;32;T. Reimer
25-26;14;Championat de France;Domicile;;Lyon Asvel Féminin;;Banc;A. Klewinski;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;4;A. Klewinski
25-26;14;Championat de France;Domicile;;Lyon Asvel Féminin;;Banc;M. Cisse;17;7;0,12;17,12;;;;;;;;;;0;0;;;;;;;;;8;0;0;0;0;4;0;0;0;1;0;8;3;20;M. Cisse
25-26;14;Championat de France;Domicile;;Lyon Asvel Féminin;;Banc;E. Prugnieres;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;25;E. Prugnieres
25-26;14;Championat de France;Domicile;;Lyon Asvel Féminin;;Banc;A. Traore;10;2;0,03;10,03;;;;;;;;;;0;0;;;;;;;;;5;1;0;1;0;1;0;0;0;1;1;12;3;27;A. Traore
25-26;14;Championat de France;Domicile;;Lyon Asvel Féminin;;Banc;F. Toure;19;11;0,18;19,18;;;;;;;;;;;;;;;;;;;;11;0;5;5;3;2;1;0;0;1;5;8;15;28;F. Toure
25-26;14;Championat de France;Domicile;;Lyon Asvel Féminin;;Banc;M. De Freitas;22;45;0,75;22,75;;;;0;1;0;;;;0;0;;;;;;;;;3;2;1;3;1;1;0;3;0;2;0;6;7;45;M. De Freitas
25-26;14;Championat de France;Domicile;;Lyon Asvel Féminin;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;3;4;0;0;0;0;0;0;0;0;0;0;Team / Coach
25-26;14;Championat de France;Domicile;;Lyon Asvel Féminin;;Banc;TOTAUX EQUIPE;;;;;27;52;0,52;19;36;0,53;;;;14;23;0,61;24;28;5;19;27;9;8;76;7;26;33;22;22;9;4;0;20;22;0;88;0;TOTAUX EQUIPE
25-26;15;Championat de France;Exterieur;;Chartres;;Starter;H. Limouzin;26;40;0,67;26,67;;;;;;;0;2;0;;;;;;;;;;;15;2;2;4;6;4;4;0;1;2;6;32;17;3;H. Limouzin
25-26;15;Championat de France;Exterieur;;Chartres;;Starter;J. Lindstrom;33;53;0,88;33,88;;;;0;1;0;;;;0;0;;;;;;;;;9;0;11;11;3;0;3;0;1;1;0;27;22;21;J. Lindstrom
25-26;15;Championat de France;Exterieur;;Chartres;;Starter;T. San Antonio;20;57;0,95;20,95;;;;;;;;;;;;;;;;;;;;18;0;1;1;3;4;0;0;0;3;3;22;16;23;T. San Antonio
25-26;15;Championat de France;Exterieur;;Chartres;;Starter;A. Traore;14;14;0,23;14,23;;;;0;0;;;;;0;0;;;;;;;;;3;0;2;2;2;0;0;0;0;2;0;22;6;27;A. Traore
25-26;15;Championat de France;Exterieur;;Chartres;;Starter;T. Reimer;23;41;0,68;23,68;;;;;;;0;0;;0;2;0;;;;;;;;14;1;4;5;2;3;1;1;0;4;2;21;16;32;T. Reimer
25-26;15;Championat de France;Exterieur;;Chartres;Capitaine;Banc;I. Slonjsak(C);10;40;0,67;10,67;;;;;;;0;1;0;0;0;;;;;;;;;2;0;2;2;0;0;1;1;0;3;0;-2;4;6;I. Slonjsak(C)
25-26;15;Championat de France;Exterieur;;Chartres;;Banc;M. Cisse;27;44;0,73;27,73;;;;;;;0;4;0;;;;;;;;;;;15;0;0;0;4;2;6;1;0;1;3;2;18;20;M. Cisse
25-26;15;Championat de France;Exterieur;;Chartres;;Banc;E. Prugnieres;5;7;0,12;5,12;;;;;;;0;2;0;0;0;;;;;;;;;2;2;2;4;1;0;0;0;0;2;0;-1;3;25;E. Prugnieres
25-26;15;Championat de France;Exterieur;;Chartres;;Banc;F. Toure;20;15;0,25;20,25;;;;;;;0;0;;;;;;;;;;;;9;0;0;0;1;5;2;0;1;4;2;10;6;28;F. Toure
25-26;15;Championat de France;Exterieur;;Chartres;;Banc;M. De Freitas;16;19;0,32;16,32;;;;;;;0;1;0;0;0;;;;;;;;;4;0;4;4;1;2;0;2;0;0;0;7;8;45;M. De Freitas
25-26;15;Championat de France;Exterieur;;Chartres;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;3;4;7;0;1;0;0;0;0;0;0;0;0;Team / Coach
25-26;15;Championat de France;Exterieur;;Chartres;;Banc;TOTAUX EQUIPE;;;;;35;63;0,56;28;42;0,67;;;;14;19;0,74;29;42;7;14;32;35;12;91;8;32;40;23;21;17;5;3;22;16;0;122;0;TOTAUX EQUIPE
25-26;16;Championat de France;Domicile;;Basket Landes;;Starter;H. Limouzin;34;17;0,28;34,28;;;;;;;0;4;0;;;;;;;;;;;14;0;2;2;4;5;1;0;2;2;3;-28;7;3;H. Limouzin
25-26;16;Championat de France;Domicile;;Basket Landes;;Starter;J. Lindstrom;27;46;0,77;27,77;;;;;;;;;;0;1;0;;;;;;;;13;1;4;5;1;2;1;0;0;1;1;-28;17;21;J. Lindstrom
25-26;16;Championat de France;Domicile;;Basket Landes;;Starter;T. San Antonio;30;44;0,73;30,73;;;;;;;;;;0;0;;;;;;;;;11;1;2;3;3;4;1;0;2;2;0;-33;9;23;T. San Antonio
25-26;16;Championat de France;Domicile;;Basket Landes;;Starter;A. Traore;16;41;0,68;16,68;;;;;;;0;2;0;0;0;;;;;;;;;4;1;0;1;0;1;0;0;1;1;1;-5;-1;27;A. Traore
25-26;16;Championat de France;Domicile;;Basket Landes;;Starter;T. Reimer;18;19;0,32;18,32;;;;;;;0;0;;;;;;;;;;;;3;1;4;5;1;3;0;0;1;2;1;-30;0;32;T. Reimer
25-26;16;Championat de France;Domicile;;Basket Landes;;Banc;A. Klewinski;2;9;0,15;2,15;0;1;0;0;1;0;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;-4;-2;4;A. Klewinski
25-26;16;Championat de France;Domicile;;Basket Landes;;Banc;M. Cisse;24;8;0,13;24,13;;;;;;;;;;0;0;;;;;;;;;7;0;2;2;2;4;1;0;1;0;1;-23;3;20;M. Cisse
25-26;16;Championat de France;Domicile;;Basket Landes;;Banc;E. Prugnieres;7;6;0,1;7,1;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-5;0;25;E. Prugnieres
25-26;16;Championat de France;Domicile;;Basket Landes;;Banc;F. Toure;16;49;0,82;16,82;0;2;0;0;2;0;0;0;;0;0;;;;;;;;;0;0;0;0;1;1;2;0;0;1;2;-10;0;28;F. Toure
25-26;16;Championat de France;Domicile;;Basket Landes;Capitaine;Banc;M. De Freitas(C);21;41;0,68;21,68;;;;;;;0;3;0;0;0;;;;;;;;;2;1;3;4;0;0;0;0;1;1;1;-4;1;45;M. De Freitas(C)
25-26;16;Championat de France;Domicile;;Basket Landes;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;5;4;9;0;1;0;0;0;0;0;0;0;0;Team / Coach
25-26;16;Championat de France;Domicile;;Basket Landes;;Banc;TOTAUX EQUIPE;;;;;22;59;0,37;17;44;0,39;;;;;;;6;22;8;6;9;;10;54;10;21;31;12;22;6;0;8;10;10;0;42;0;TOTAUX EQUIPE
25-26;17;Championat de France;Exterieur;;Charleville-Mézières;;Starter;H. Limouzin;36;20;0,33;36,33;;;;;;;0;3;0;;;;;;;;;;;13;0;3;3;4;2;0;0;1;4;3;-8;8;3;H. Limouzin
25-26;17;Championat de France;Exterieur;;Charleville-Mézières;;Starter;J. Lindstrom;29;29;0,48;29,48;;;;;;;0;6;0;;;;;;;;;;;5;0;4;4;3;4;0;0;0;1;1;-21;2;21;J. Lindstrom
25-26;17;Championat de France;Exterieur;;Charleville-Mézières;;Starter;T. San Antonio;29;19;0,32;29,32;;;;;;;0;2;0;;;;;;;;;;;12;2;4;6;2;2;1;2;1;4;4;-12;14;23;T. San Antonio
25-26;17;Championat de France;Exterieur;;Charleville-Mézières;;Starter;A. Traore;22;41;0,68;22,68;;;;;;;;;;0;0;;;;;;;;;10;2;0;2;3;1;4;0;1;4;1;-5;14;27;A. Traore
25-26;17;Championat de France;Exterieur;;Charleville-Mézières;;Starter;T. Reimer;32;55;0,92;32,92;;;;;;;0;0;;0;0;;;;;;;;;16;2;8;10;2;2;2;0;0;3;1;-5;24;32;T. Reimer
25-26;17;Championat de France;Exterieur;;Charleville-Mézières;;Banc;M. Cisse;13;54;0,9;13,9;;;;;;;0;1;0;0;0;;;;;;;;;2;0;1;1;0;0;0;0;0;0;0;-17;-1;20;M. Cisse
25-26;17;Championat de France;Exterieur;;Charleville-Mézières;;Banc;E. Prugnieres;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;25;E. Prugnieres
25-26;17;Championat de France;Exterieur;;Charleville-Mézières;;Banc;F. Toure;23;34;0,57;23,57;;;;;;;0;2;0;;;;;;;;;;;10;1;0;1;2;3;1;0;1;0;2;-4;6;28;F. Toure
25-26;17;Championat de France;Exterieur;;Charleville-Mézières;Capitaine;Banc;M. De Freitas(C);11;48;0,8;11,8;;;;;;;0;0;;0;0;;;;;;;;;2;0;1;1;1;0;1;0;0;3;1;-13;4;45;M. De Freitas(C)
25-26;17;Championat de France;Exterieur;;Charleville-Mézières;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;2;1;3;0;1;0;0;0;0;0;0;0;0;Team / Coach
25-26;17;Championat de France;Exterieur;;Charleville-Mézières;;Banc;TOTAUX EQUIPE;;;;;29;67;0,43;27;49;0,55;;;;;;;16;44;6;10;14;;6;70;9;22;31;17;15;9;2;4;19;13;0;73;0;TOTAUX EQUIPE
25-26;18;Championat de France;Domicile;;Angers;;Starter;H. Limouzin;36;35;0,58;36,58;;;;;;;0;2;0;;;;;;;;;;;11;4;6;10;4;3;0;0;0;1;1;2;12;3;H. Limouzin
25-26;18;Championat de France;Domicile;;Angers;;Starter;J. Lindstrom;34;31;0,52;34,52;;;;;;;;;;0;0;;;;;;;;;10;6;11;17;3;3;2;0;1;2;3;1;22;21;J. Lindstrom
25-26;18;Championat de France;Domicile;;Angers;;Starter;T. San Antonio;22;51;0,85;22,85;;;;;;;0;0;;0;0;;;;;;;;;2;2;0;2;1;0;3;0;0;3;1;-2;0;23;T. San Antonio
25-26;18;Championat de France;Domicile;;Angers;;Starter;A. Traore;24;17;0,28;24,28;;;;;;;;;;0;0;;;;;;;;;5;0;2;2;2;2;0;1;0;1;0;-5;6;27;A. Traore
25-26;18;Championat de France;Domicile;;Angers;;Starter;T. Reimer;26;6;0,1;26,1;;;;;;;0;0;;;;;;;;;;;;9;2;5;7;1;2;0;0;1;1;5;1;3;32;T. Reimer
25-26;18;Championat de France;Domicile;;Angers;;Banc;A. Klewinski;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;4;A. Klewinski
25-26;18;Championat de France;Domicile;;Angers;;Banc;M. Cisse;18;15;0,25;18,25;0;6;0;0;5;0;0;1;0;0;0;;;;;;;;;0;0;1;1;1;1;0;0;2;1;0;3;-5;20;M. Cisse
25-26;18;Championat de France;Domicile;;Angers;;Banc;E. Prugnieres;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;25;E. Prugnieres
25-26;18;Championat de France;Domicile;;Angers;;Banc;F. Toure;22;46;0,77;22,77;;;;;;;;;;;;;;;;;;;;12;1;3;4;1;2;3;0;0;4;3;6;15;28;F. Toure
25-26;18;Championat de France;Domicile;;Angers;Capitaine;Banc;M. De Freitas(C);14;39;0,65;14,65;;;;0;4;0;;;;0;0;;;;;;;;;3;0;4;4;0;0;0;2;0;0;0;-1;5;45;M. De Freitas(C)
25-26;18;Championat de France;Domicile;;Angers;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;2;4;6;0;1;0;0;0;0;0;0;0;0;Team / Coach
25-26;18;Championat de France;Domicile;;Angers;;Banc;TOTAUX EQUIPE;;;;;20;69;0,29;14;54;0,26;;;;;;;15;22;14;11;15;1;11;52;17;36;53;13;14;8;3;4;13;13;0;63;0;TOTAUX EQUIPE
25-26;19;Championat de France;Exterieur;;Charnay;;Starter;H. Limouzin;36;34;0,57;36,57;;;;;;;;;;;;;;;;;;;;24;0;10;10;2;1;4;0;0;3;5;12;29;3;H. Limouzin
25-26;19;Championat de France;Exterieur;;Charnay;;Starter;J. Lindstrom;36;16;0,27;36,27;;;;;;;;;;0;0;;;;;;;;;7;3;4;7;1;1;1;1;0;3;0;1;11;21;J. Lindstrom
25-26;19;Championat de France;Exterieur;;Charnay;;Starter;T. San Antonio;29;19;0,32;29,32;;;;;;;;;;;;;;;;;;;;16;0;1;1;2;1;1;0;0;3;6;0;10;23;T. San Antonio
25-26;19;Championat de France;Exterieur;;Charnay;;Starter;A. Traore;12;14;0,23;12,23;0;2;0;0;2;0;0;0;;0;0;;;;;;;;;0;0;0;0;0;3;0;0;0;4;0;-7;-5;27;A. Traore
25-26;19;Championat de France;Exterieur;;Charnay;;Starter;T. Reimer;34;12;0,2;34,2;;;;;;;0;0;;;;;;;;;;;;13;2;9;11;3;1;1;1;0;4;5;11;20;32;T. Reimer
25-26;19;Championat de France;Exterieur;;Charnay;;Banc;M. Cisse;12;0;0;12;;;;;;;;;;;;;;;;;;;;7;1;2;3;0;1;0;0;0;0;1;-5;6;20;M. Cisse
25-26;19;Championat de France;Exterieur;;Charnay;;Banc;E. Prugnieres;1;0;0;1;;;;;;;0;1;0;0;0;;;;;;;;;2;1;1;2;0;0;1;0;1;0;0;0;3;25;E. Prugnieres
25-26;19;Championat de France;Exterieur;;Charnay;;Banc;F. Toure;32;7;0,12;32,12;;;;;;;;;;0;0;;;;;;;;;7;0;0;0;3;2;3;0;0;1;0;-5;8;28;F. Toure
25-26;19;Championat de France;Exterieur;;Charnay;Capitaine;Banc;M. De Freitas(C);5;8;0,13;5,13;;;;;;;0;1;0;0;0;;;;;;;;;2;0;0;0;1;2;0;0;0;4;0;-12;-1;45;M. De Freitas(C)
25-26;19;Championat de France;Exterieur;;Charnay;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;2;0;2;0;0;0;0;0;0;0;0;Team / Coach
25-26;19;Championat de France;Exterieur;;Charnay;;Banc;TOTAUX EQUIPE;;;;;28;67;0,42;22;50;0,44;;;;16;21;0,76;22;30;7;8;18;14;8;78;8;28;36;12;14;11;2;1;22;17;0;81;0;TOTAUX EQUIPE
25-26;20;Championat de France;Domicile;;Bourges;;Starter;H. Limouzin;32;55;0,92;32,92;;;;;;;0;2;0;;;;;;;;;;;20;0;0;0;5;4;4;0;1;3;6;-19;13;3;H. Limouzin
25-26;20;Championat de France;Domicile;;Bourges;;Starter;T. San Antonio;21;0;0;21;;;;;;;0;3;0;;;;;;;;;;;3;1;2;3;1;2;3;0;1;4;3;-24;3;23;T. San Antonio
25-26;20;Championat de France;Domicile;;Bourges;;Starter;A. Traore;23;41;0,68;23,68;;;;;;;;;;0;0;;;;;;;;;5;2;3;5;0;4;3;0;1;4;0;-28;5;27;A. Traore
25-26;20;Championat de France;Domicile;;Bourges;;Starter;F. Toure;31;9;0,15;31,15;;;;;;;0;1;0;0;0;;;;;;;;;12;1;1;2;1;5;0;0;0;1;0;-20;6;28;F. Toure
25-26;20;Championat de France;Domicile;;Bourges;;Starter;T. Reimer;30;54;0,9;30,9;;;;;;;0;0;;;;;;;;;;;;7;1;4;5;0;0;3;1;0;1;1;-24;9;32;T. Reimer
25-26;20;Championat de France;Domicile;;Bourges;;Banc;A. Klewinski;2;0;0;2;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;-5;-1;4;A. Klewinski
25-26;20;Championat de France;Domicile;;Bourges;;Banc;L. Tardy;0;7;0,12;0,12;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-3;0;5;L. Tardy
25-26;20;Championat de France;Domicile;;Bourges;;Banc;M. Cisse;20;20;0,33;20,33;;;;;;;0;1;0;;;;;;;;;;;5;1;0;1;6;1;4;0;0;0;2;-4;13;20;M. Cisse
25-26;20;Championat de France;Domicile;;Bourges;;Banc;E. Prugnieres;11;26;0,43;11,43;0;5;0;0;2;0;0;3;0;;;;;;;;;;;1;0;1;1;0;0;0;0;0;0;1;-11;-4;25;E. Prugnieres
25-26;20;Championat de France;Domicile;;Bourges;;Banc;A. Dia;0;7;0,12;0,12;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;-3;-1;31;A. Dia
25-26;20;Championat de France;Domicile;;Bourges;Capitaine;Banc;M. De Freitas(C);24;22;0,37;24,37;;;;;;;0;5;0;0;0;;;;;;;;;2;0;5;5;0;2;1;1;1;2;0;-4;1;45;M. De Freitas(C)
25-26;20;Championat de France;Domicile;;Bourges;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;2;3;5;0;0;0;0;0;0;0;0;0;0;Team / Coach
25-26;20;Championat de France;Domicile;;Bourges;;Banc;TOTAUX EQUIPE;;;;;23;64;0,36;22;46;0,48;;;;;;;27;32;8;11;8;;9;55;8;19;27;13;20;18;2;4;15;13;0;49;0;TOTAUX EQUIPE
25-26;21;Championat de France;Exterieur;;Landerneau;;Starter;H. Limouzin;30;35;0,58;30,58;;;;;;;0;4;0;0;0;;;;;;;;;12;1;3;4;5;2;2;0;0;1;1;-11;11;3;H. Limouzin
25-26;21;Championat de France;Exterieur;;Landerneau;;Starter;M. Cisse;27;38;0,63;27,63;;;;;;;;;;0;0;;;;;;;;;11;1;1;2;2;0;4;0;0;1;0;-19;11;20;M. Cisse
25-26;21;Championat de France;Exterieur;;Landerneau;;Starter;A. Traore;16;8;0,13;16,13;0;2;0;0;1;0;0;1;0;0;0;;;;;;;;;0;0;3;3;0;2;1;1;0;0;0;-6;1;27;A. Traore
25-26;21;Championat de France;Exterieur;;Landerneau;;Starter;F. Toure;24;15;0,25;24,25;;;;;;;;;;0;1;0;;;;;;;;7;0;3;3;2;2;0;0;0;3;2;-5;7;28;F. Toure
25-26;21;Championat de France;Exterieur;;Landerneau;;Starter;T. Reimer;29;40;0,67;29,67;;;;;;;0;0;;;;;;;;;;;;10;4;2;6;0;3;1;0;0;3;2;-14;6;32;T. Reimer
25-26;21;Championat de France;Exterieur;;Landerneau;;Banc;J. Lindstrom;30;39;0,65;30,65;;;;;;;;;;0;0;;;;;;;;;7;3;4;7;1;1;2;0;2;3;3;1;9;21;J. Lindstrom
25-26;21;Championat de France;Exterieur;;Landerneau;;Banc;T. San Antonio;28;15;0,25;28,25;;;;;;;;;;;;;;;;;;;;14;0;3;3;0;6;2;0;1;4;3;6;7;23;T. San Antonio
25-26;21;Championat de France;Exterieur;;Landerneau;;Banc;E. Prugnieres;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;25;E. Prugnieres
25-26;21;Championat de France;Exterieur;;Landerneau;Capitaine;Banc;M. De Freitas(C);12;50;0,83;12,83;;;;;;;0;0;;0;0;;;;;;;;;2;1;1;2;0;1;0;0;0;4;1;3;3;45;M. De Freitas(C)
25-26;21;Championat de France;Exterieur;;Landerneau;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;3;4;7;0;0;0;0;0;0;0;0;0;0;Team / Coach
25-26;21;Championat de France;Exterieur;;Landerneau;;Banc;TOTAUX EQUIPE;;;;;28;68;0,41;24;48;0,5;;;;;;;20;38;12;17;23;2;8;63;13;24;37;10;17;12;1;3;19;12;0;62;0;TOTAUX EQUIPE
25-26;22;Championat de France;Domicile;;Lattes Montpellier;;Starter;H. Limouzin;29;39;0,65;29,65;;;;;;;0;2;0;;;;;;;;;;;15;0;4;4;6;1;2;0;0;1;3;-9;16;3;H. Limouzin
25-26;22;Championat de France;Domicile;;Lattes Montpellier;;Starter;J. Lindstrom;33;27;0,45;33,45;0;4;0;0;1;0;0;3;0;;;;;;;;;;;1;3;6;9;7;1;6;1;0;4;1;-8;18;21;J. Lindstrom
25-26;22;Championat de France;Domicile;;Lattes Montpellier;;Starter;T. San Antonio;29;58;0,97;29,97;;;;;;;;;;;;;;;;;;;;9;0;0;0;2;1;2;0;0;3;3;-11;3;23;T. San Antonio
25-26;22;Championat de France;Domicile;;Lattes Montpellier;;Starter;A. Traore;22;19;0,32;22,32;;;;;;;0;1;0;;;;;;;;;;;4;2;2;4;0;0;0;0;0;2;2;-6;5;27;A. Traore
25-26;22;Championat de France;Domicile;;Lattes Montpellier;;Starter;T. Reimer;21;27;0,45;21,45;;;;;;;0;0;;;;;;;;;;;;12;2;4;6;1;6;2;0;0;3;4;2;12;32;T. Reimer
25-26;22;Championat de France;Domicile;;Lattes Montpellier;;Banc;A. Klewinski;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;4;A. Klewinski
25-26;22;Championat de France;Domicile;;Lattes Montpellier;;Banc;L. Tardy;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;5;L. Tardy
25-26;22;Championat de France;Domicile;;Lattes Montpellier;;Banc;M. Cisse;21;19;0,32;21,32;;;;;;;;;;0;0;;;;;;;;;15;0;1;1;1;0;1;0;0;3;1;-8;14;20;M. Cisse
25-26;22;Championat de France;Domicile;;Lattes Montpellier;;Banc;F. Toure;24;46;0,77;24,77;;;;;;;0;1;0;;;;;;;;;;;8;1;1;2;1;3;3;0;0;1;5;-14;3;28;F. Toure
25-26;22;Championat de France;Domicile;;Lattes Montpellier;;Banc;A. Dia;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;31;A. Dia
25-26;22;Championat de France;Domicile;;Lattes Montpellier;Capitaine;Banc;M. De Freitas(C);17;5;0,08;17,08;;;;;;;0;2;0;0;0;;;;;;;;;2;1;0;1;0;1;0;0;0;2;0;-26;-3;45;M. De Freitas(C)
25-26;22;Championat de France;Domicile;;Lattes Montpellier;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;4;4;0;0;0;0;0;0;0;0;0;0;Team / Coach
25-26;22;Championat de France;Domicile;;Lattes Montpellier;;Banc;TOTAUX EQUIPE;;;;;23;64;0,36;19;46;0,41;;;;16;22;0,73;22;28;6;13;25;7;9;66;9;22;31;18;13;16;1;0;19;19;0;72;0;TOTAUX EQUIPE
25-26;P1;Playdown;Domicile;;Roche Vendée;Capitaine;Starter;H. Limouzin(C);34;18;0,3;34,3;;;;;;;0;2;0;;;;;;;;;;;14;0;4;4;6;2;6;0;4;1;2;13;19;3;H. Limouzin(C)
25-26;P1;Playdown;Domicile;;Roche Vendée;;Starter;J. Lindstrom;35;37;0,62;35,62;;;;;;;0;1;0;;;;;;;;;;;7;5;11;16;3;5;2;0;1;1;5;10;21;21;J. Lindstrom
25-26;P1;Playdown;Domicile;;Roche Vendée;;Starter;T. San Antonio;30;28;0,47;30,47;;;;;;;0;2;0;;;;;;;;;;;18;0;2;2;4;3;1;0;0;4;1;9;17;23;T. San Antonio
25-26;P1;Playdown;Domicile;;Roche Vendée;;Starter;A. Traore;20;32;0,53;20,53;;;;0;1;0;;;;;;;;;;;;;;8;0;4;4;1;0;1;0;0;3;3;14;11;27;A. Traore
25-26;P1;Playdown;Domicile;;Roche Vendée;;Starter;T. Reimer;31;19;0,32;31,32;;;;;;;0;0;;;;;;;;;;;;13;3;3;6;3;3;0;1;0;3;4;7;14;32;T. Reimer
25-26;P1;Playdown;Domicile;;Roche Vendée;;Banc;A. Klewinski;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;4;A. Klewinski
25-26;P1;Playdown;Domicile;;Roche Vendée;;Banc;L. Tardy;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;5;L. Tardy
25-26;P1;Playdown;Domicile;;Roche Vendée;;Banc;M. Cisse;25;40;0,67;25,67;;;;;;;0;4;0;;;;;;;;;;;3;1;0;1;2;1;2;0;0;1;1;-4;-1;20;M. Cisse
25-26;P1;Playdown;Domicile;;Roche Vendée;;Banc;F. Toure;22;6;0,1;22,1;;;;;;;;;;;;;;;;;;;;12;1;3;4;1;2;1;0;0;1;4;16;6;28;F. Toure
25-26;P1;Playdown;Domicile;;Roche Vendée;;Banc;A. Dia;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;31;A. Dia
25-26;P1;Playdown;Domicile;;Roche Vendée;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;3;1;4;0;1;0;0;0;0;0;0;0;0;Team / Coach
25-26;P1;Playdown;Domicile;;Roche Vendée;;Banc;TOTAUX EQUIPE;;;;;24;61;0,39;22;47;0,47;;;;25;31;0,81;15;30;12;14;15;23;12;75;13;28;41;20;17;13;1;5;14;20;0;90;0;TOTAUX EQUIPE
25-26;P2;Playdown;Exterieur;;Angers;Capitaine;Starter;H. Limouzin(C);36;57;0,95;36,95;;;;;;;0;3;0;0;0;;;;;;;;;14;0;7;7;10;5;1;0;2;2;2;7;19;3;H. Limouzin(C)
