Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
24-25;21;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Starter;K. Cooper;19;37;0,62;37,62;3;6;0,5;2;4;0,5;1;2;0,5;0;1;0;;;;;;;;7;0;3;3;0;3;1;2;0;2;0;-23;6;12;K. Cooper
24-25;21;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;Capitaine;Starter;E. Marie(C);29;20;0,33;20,33;0;5;0;0;1;0;0;4;0;1;2;0,5;;;;;;;;1;0;2;2;8;1;0;0;0;3;3;-28;4;21;E. Marie(C)
24-25;21;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Starter;N. Enabosi;21;21;0,35;21,35;1;9;0,11;1;7;0,14;0;2;0;5;6;0,83;;;;;;;;7;0;4;4;0;1;2;0;1;2;5;-20;3;33;N. Enabosi
24-25;21;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;N. Bruce;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;5;N. Bruce
24-25;21;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;C. Legrand;19;30;0,5;30,5;3;8;0,38;1;3;0,33;2;5;0,4;0;0;;;;;;;;;8;2;3;5;2;0;3;0;0;1;2;-25;13;7;C. Legrand
24-25;21;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;E. Mahoutou;20;32;0,53;32,53;0;3;0;0;3;0;0;0;;0;0;;;;;;;;;0;1;3;4;2;1;0;0;1;1;0;-15;2;26;E. Mahoutou
24-25;21;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;R. Le Seyec;20;23;0,38;23,38;2;6;0,33;2;6;0,33;0;0;;3;4;0,75;;;;;;;;7;1;2;3;0;1;0;1;0;1;3;-10;5;27;R. Le Seyec
24-25;21;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;M. Debaut;26;47;0,78;47,78;5;13;0,38;2;6;0,33;3;7;0,43;0;0;;;;;;;;;13;0;1;1;0;4;0;0;1;3;0;-24;2;30;M. Debaut
24-25;21;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;3;4;0;1;0;0;0;0;0;0;0;0;Team / Coach
24-25;21;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;TOTAUX EQUIPE;;;;;17;64;0,27;11;39;0,28;6;25;0,24;14;18;0,78;18;14;3;13;28;1;6;54;6;26;32;14;15;10;6;3;16;17;0;50;0;TOTAUX EQUIPE
